timestamp,p1,p2,p3,p4
3326,Infinity,Infinity,Infinity,Infinity
3342,Infinity,Infinity,Infinity,Infinity
3343,Infinity,Infinity,Infinity,Infinity
3348,Infinity,Infinity,Infinity,Infinity
3352,13.306081,13.261465,7.7358546,6.6307325
3368,13.306081,13.261465,7.7358546,6.6307325
3372,13.306081,13.261465,7.7358546,6.6307325
3382,13.306081,13.261465,7.7358546,6.6307325
3385,13.306081,13.261465,7.7358546,6.6307325
3392,13.306081,13.261465,7.7358546,6.6307325
3406,13.306081,13.261465,7.7358546,6.6307325
3416,13.306081,13.261465,7.7358546,6.6307325
3426,13.306081,13.261465,7.7358546,6.6307325
3439,13.306081,13.261465,7.7358546,6.6307325
3448,13.306081,13.261465,7.7358546,6.6307325
3450,13.306081,13.261465,7.7358546,6.6307325
3461,13.306081,13.261465,7.7358546,6.6307325
3473,13.306081,13.261465,7.7358546,6.6307325
3486,13.306081,13.261465,7.7358546,6.6307325
3496,13.306081,13.261465,7.7358546,6.6307325
3508,13.306081,13.261465,7.7358546,6.6307325
3520,13.306081,13.261465,7.7358546,6.6307325
3524,13.306081,13.261465,7.7358546,6.6307325
3532,13.306081,13.261465,7.7358546,6.6307325
3543,13.306081,13.261465,7.7358546,6.6307325
3557,13.306081,13.261465,7.7358546,6.6307325
3566,13.306081,13.261465,7.7358546,6.6307325
3577,13.306081,13.261465,7.7358546,6.6307325
3590,13.306081,13.261465,7.7358546,6.6307325
3592,13.306081,13.261465,7.7358546,6.6307325
3601,13.306081,13.261465,7.7358546,6.6307325
3613,13.306081,13.261465,7.7358546,6.6307325
3625,13.306081,13.261465,7.7358546,6.6307325
3635,13.306081,13.261465,7.7358546,6.6307325
3648,13.306081,13.261465,7.7358546,6.6307325
3660,13.306081,13.261465,7.7358546,6.6307325
3670,13.306081,13.261465,7.7358546,6.6307325
3673,13.306081,13.261465,7.7358546,6.6307325
3683,13.306081,13.261465,7.7358546,6.6307325
3694,13.306081,13.261465,7.7358546,6.6307325
3707,13.306081,13.261465,7.7358546,6.6307325
3717,13.306081,13.261465,7.7358546,6.6307325
3729,13.306081,13.261465,7.7358546,6.6307325
3811,13.306081,13.261465,7.7358546,6.6307325
3821,13.306081,13.261465,7.7358546,6.6307325
3862,13.306081,13.261465,7.7358546,6.6307325
3876,13.306081,13.261465,7.7358546,6.6307325
3880,13.306081,13.261465,7.7358546,6.6307325
3881,13.306081,13.261465,7.7358546,6.6307325
3886,13.306081,13.261465,7.7358546,6.6307325
3889,13.306081,13.261465,7.7358546,6.6307325
3892,13.306081,13.261465,7.7358546,6.6307325
3896,13.306081,13.261465,7.7358546,6.6307325
4001,13.306081,13.261465,7.7358546,6.6307325
4004,13.306081,13.261465,7.7358546,6.6307325
4007,13.306081,13.261465,7.7358546,6.6307325
4010,13.306081,13.261465,7.7358546,6.6307325
4015,13.306081,13.261465,7.7358546,6.6307325
4020,13.306081,13.261465,7.7358546,6.6307325
4025,13.306081,13.261465,7.7358546,6.6307325
4028,13.306081,13.261465,7.7358546,6.6307325
4031,13.306081,13.261465,7.7358546,6.6307325
4035,13.306081,13.261465,7.7358546,6.6307325
4042,13.306081,13.261465,7.7358546,6.6307325
4044,13.306081,13.261465,7.7358546,6.6307325
4049,13.306081,13.261465,7.7358546,6.6307325
4053,13.306081,13.261465,7.7358546,6.6307325
4056,13.306081,13.261465,7.7358546,6.6307325
4060,13.306081,13.261465,7.7358546,6.6307325
4063,13.306081,13.261465,7.7358546,6.6307325
4108,13.306081,13.261465,7.7358546,6.6307325
4111,13.306081,13.261465,7.7358546,6.6307325
4113,13.306081,13.261465,7.7358546,6.6307325
4120,13.306081,13.261465,7.7358546,6.6307325
4124,13.306081,13.261465,7.7358546,6.6307325
4126,13.306081,13.261465,7.7358546,6.6307325
4130,13.306081,13.261465,7.7358546,6.6307325
4136,13.306081,13.261465,7.7358546,6.6307325
4141,13.306081,13.261465,7.7358546,6.6307325
4149,13.306081,13.261465,7.7358546,6.6307325
4154,13.306081,13.261465,7.7358546,6.6307325
4161,13.306081,13.261465,7.7358546,6.6307325
4163,13.306081,13.261465,7.7358546,6.6307325
4165,13.306081,13.261465,7.7358546,6.6307325
4170,13.306081,13.261465,7.7358546,6.6307325
4173,13.306081,13.261465,7.7358546,6.6307325
4179,13.306081,13.261465,7.7358546,6.6307325
4184,13.306081,13.261465,7.7358546,6.6307325
4208,13.306081,13.261465,7.7358546,6.6307325
4210,13.306081,13.261465,7.7358546,6.6307325
4212,13.306081,13.261465,7.7358546,6.6307325
4223,13.306081,13.261465,7.7358546,6.6307325
4228,13.306081,13.261465,7.7358546,6.6307325
4233,13.306081,13.261465,7.7358546,6.6307325
4255,13.306081,13.261465,7.7358546,6.6307325
4269,13.306081,13.261465,7.7358546,6.6307325
4274,13.306081,13.261465,7.7358546,6.6307325
4275,13.306081,13.261465,7.7358546,6.6307325
4286,13.306081,13.261465,7.7358546,6.6307325
4301,13.306081,13.261465,7.7358546,6.6307325
4304,13.306081,13.261465,7.7358546,6.6307325
4339,13.306081,13.261465,7.7358546,6.6307325
4342,13.306081,13.261465,7.7358546,6.6307325
4345,13.306081,13.261465,7.7358546,6.6307325
4357,13.306081,13.261465,7.7358546,6.6307325
4360,13.306081,13.261465,7.7358546,6.6307325
4366,13.306081,13.261465,7.7358546,6.6307325
4380,13.306081,13.261465,7.7358546,6.6307325
4383,13.306081,13.261465,7.7358546,6.6307325
4390,13.306081,13.261465,7.7358546,6.6307325
4403,13.306081,13.261465,7.7358546,6.6307325
4413,13.306081,13.261465,7.7358546,6.6307325
4428,13.306081,13.261465,7.7358546,6.6307325
4438,13.306081,13.261465,7.7358546,6.6307325
4448,13.306081,13.261465,7.7358546,6.6307325
4460,13.306081,13.261465,7.7358546,6.6307325
4463,13.306081,13.261465,7.7358546,6.6307325
4472,13.306081,13.261465,7.7358546,6.6307325
4483,13.306081,13.261465,7.7358546,6.6307325
4505,13.306081,13.261465,7.7358546,6.6307325
4507,13.306081,13.261465,7.7358546,6.6307325
4519,13.306081,13.261465,7.7358546,6.6307325
4529,13.306081,13.261465,7.7358546,6.6307325
4531,13.306081,13.261465,7.7358546,6.6307325
4541,13.306081,13.261465,7.7358546,6.6307325
4553,13.306081,13.261465,7.7358546,6.6307325
4565,13.306081,13.261465,7.7358546,6.6307325
4576,13.306081,13.261465,7.7358546,6.6307325
4589,13.306081,13.261465,7.7358546,6.6307325
4603,13.306081,13.261465,7.7358546,6.6307325
4606,13.306081,13.261465,7.7358546,6.6307325
4611,13.306081,13.261465,7.7358546,6.6307325
4623,13.306081,13.261465,7.7358546,6.6307325
4636,13.306081,13.261465,7.7358546,6.6307325
4655,13.306081,13.261465,7.7358546,6.6307325
4658,13.306081,13.261465,7.7358546,6.6307325
4670,13.306081,13.261465,7.7358546,6.6307325
4672,13.306081,13.261465,7.7358546,6.6307325
4692,13.306081,13.261465,7.7358546,6.6307325
4727,13.306081,13.261465,7.7358546,6.6307325
4756,13.306081,13.261465,7.7358546,6.6307325
4761,13.306081,13.261465,7.7358546,6.6307325
4763,13.306081,13.261465,7.7358546,6.6307325
4768,13.306081,13.261465,7.7358546,6.6307325
4773,13.306081,13.261465,7.7358546,6.6307325
4779,13.306081,13.261465,7.7358546,6.6307325
4786,13.306081,13.261465,7.7358546,6.6307325
4811,13.306081,13.261465,7.7358546,6.6307325
4814,13.306081,13.261465,7.7358546,6.6307325
4818,13.306081,13.261465,7.7358546,6.6307325
4823,13.306081,13.261465,7.7358546,6.6307325
4825,13.306081,13.261465,7.7358546,6.6307325
4831,13.306081,13.261465,7.7358546,6.6307325
4843,13.306081,13.261465,7.7358546,6.6307325
4851,13.306081,13.261465,7.7358546,6.6307325
4867,13.306081,13.261465,7.7358546,6.6307325
4869,13.306081,13.261465,7.7358546,6.6307325
4878,13.306081,13.261465,7.7358546,6.6307325
4890,13.306081,13.261465,7.7358546,6.6307325
4891,13.306081,13.261465,7.7358546,6.6307325
4900,13.306081,13.261465,7.7358546,6.6307325
4913,13.306081,13.261465,7.7358546,6.6307325
4927,13.306081,13.261465,7.7358546,6.6307325
4935,13.306081,13.261465,7.7358546,6.6307325
4950,13.306081,13.261465,7.7358546,6.6307325
4959,13.306081,13.261465,7.7358546,6.6307325
4973,13.306081,13.261465,7.7358546,6.6307325
4975,13.306081,13.261465,7.7358546,6.6307325
4982,13.306081,13.261465,7.7358546,6.6307325
4994,13.306081,13.261465,7.7358546,6.6307325
5007,13.306081,13.261465,7.7358546,6.6307325
5019,13.306081,13.261465,7.7358546,6.6307325
5020,13.306081,13.261465,7.7358546,6.6307325
5030,13.306081,13.261465,7.7358546,6.6307325
5040,13.306081,13.261465,7.7358546,6.6307325
5052,13.306081,13.261465,7.7358546,6.6307325
5064,13.306081,13.261465,7.7358546,6.6307325
5076,13.306081,13.261465,7.7358546,6.6307325
5087,13.306081,13.261465,7.7358546,6.6307325
5127,13.306081,13.261465,7.7358546,6.6307325
5128,13.306081,13.261465,7.7358546,6.6307325
5132,13.306081,13.261465,7.7358546,6.6307